"filename", "language", "SQL", "JavaScript", "JSON", "HTTP", "Handlebars", "CSS", "comment", "blank", "total"
"c:\Users\phill\Documents\York\Year 3\Project\project-website\database.js", "JavaScript", 0, 420, 0, 0, 0, 0, 47, 128, 595
"c:\Users\phill\Documents\York\Year 3\Project\project-website\db.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 39
"c:\Users\phill\Documents\York\Year 3\Project\project-website\email-test.js", "JavaScript", 0, 23, 0, 0, 0, 0, 1, 4, 28
"c:\Users\phill\Documents\York\Year 3\Project\project-website\emails.js", "JavaScript", 0, 29, 0, 0, 0, 0, 8, 10, 47
"c:\Users\phill\Documents\York\Year 3\Project\project-website\helpers.js", "JavaScript", 0, 137, 0, 0, 0, 0, 3, 52, 192
"c:\Users\phill\Documents\York\Year 3\Project\project-website\index.js", "JavaScript", 0, 82, 0, 0, 0, 0, 23, 20, 125
"c:\Users\phill\Documents\York\Year 3\Project\project-website\mysql workbench 2.sql", "SQL", 224, 0, 0, 0, 0, 0, 13, 77, 314
"c:\Users\phill\Documents\York\Year 3\Project\project-website\mysql workbench 3.sql", "SQL", 190, 0, 0, 0, 0, 0, 13, 61, 264
"c:\Users\phill\Documents\York\Year 3\Project\project-website\mysql workbench.sql", "SQL", 190, 0, 0, 0, 0, 0, 13, 61, 264
"c:\Users\phill\Documents\York\Year 3\Project\project-website\package-lock.json", "JSON", 0, 0, 2649, 0, 0, 0, 0, 1, 2650
"c:\Users\phill\Documents\York\Year 3\Project\project-website\package.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\phill\Documents\York\Year 3\Project\project-website\passport-config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 8, 33
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\array-functions.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\fetchData.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\helpers.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\purchase-page.js", "JavaScript", 0, 199, 0, 0, 0, 0, 42, 68, 309
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\tour-not-onsale.js", "JavaScript", 0, 31, 0, 0, 0, 0, 13, 11, 55
"c:\Users\phill\Documents\York\Year 3\Project\project-website\public\js\tour-onsale.js", "JavaScript", 0, 18, 0, 0, 0, 0, 5, 4, 27
